,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
3955,3955,"Cranberry sauce, OCEAN SPRAY, canned, jellied",100 g,160,0g,0g,0,1.05 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61 g,1.0 g,32.20 g,9.80 g,0.00 g,17.80 g,0.00 g,4.50 g,0.10 g,0.04 g,0.007 g,0.007 g,0.028 g,0.00 mg,58.20 g
1509,1509,"Cranberry sauce, sweetened, canned",100 g,159,0.2g,0g,0,0.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.40 g,1.1 g,31.75 g,9.75 g,0.00 g,17.45 g,0.00 g,4.45 g,0.10 g,0.15 g,0.007 g,0.007 g,0.031 g,0.00 mg,58.45 g
2913,2913,"Cranberry sauce, OCEAN SPRAY, canned, whole",100 g,158,0.1g,0g,0,0.75 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.40 g,1.2 g,31.30 g,9.70 g,0.00 g,17.10 g,0.00 g,4.40 g,0.10 g,0.05 g,0.007 g,0.007 g,0.034 g,0.00 mg,58.70 g
759,759,"McDONALD'S, Hot Mustard Sauce",100 g,190,7.3g,1g,0,2.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08 g,5.0 g,21.76 g,9.57 g,0.00 g,11.20 g,0.00 g,0.29 g,0.70 g,7.31 g,0.987 g,1.724 g,3.406 g,0,58.65 g
522,522,"Jackfruit, raw",100 g,95,0.6g,0.2g,0,1.72 g,0.086 g,0.138 g,0.172 g,0.017 g,0.189 g,0.086 g,0.034 g,0,0.069 g,0.103 g,0.069 g,0.034 g,0.052 g,0.017 g,0.103 g,0.086 g,0.034 g,0.103 g,0.086 g,23.25 g,1.5 g,19.08 g,9.19 g,0.00 g,9.48 g,0.00 g,0.00 g,0.42 g,0.64 g,0.195 g,0.155 g,0.094 g,0.00 mg,73.46 g
3427,3427,"Snacks, fruit, NUTRI-GRAIN Cereal Bars, KELLOGG'S",100 g,365,8.7g,1.4g,0,4.22 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.61 g,3.0 g,28.98 g,9.19 g,0.00 g,12.43 g,1.08 g,2.18 g,4.10 g,8.67 g,1.442 g,1.989 g,4.544 g,0.00 mg,16.70 g
3691,3691,"Blueberries, drained, heavy syrup, canned, wild",100 g,107,0.3g,0g,0,0.56 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32 g,4.9 g,19.28 g,9.02 g,0.00 g,10.13 g,0.00 g,0.12 g,0.01 g,0.34 g,0,0,0,0,70.63 g
5881,5881,"Pickles, sweet (includes bread and butter pickles), cucumber",100 g,91,0.4g,0.1g,0,0.58 g,0.026 g,0.031 g,0.042 g,0.010 g,0.169 g,0.026 g,0.007 g,0,0.021 g,0.026 g,0.031 g,0.010 g,0.021 g,0.010 g,0.031 g,0.021 g,0.010 g,0.010 g,0.021 g,21.15 g,1.0 g,18.27 g,8.81 g,0.00 g,9.17 g,0.00 g,0.29 g,0.00 g,0.41 g,0.067 g,0.004 g,0.106 g,0.00 mg,76.20 g
282,282,"Catsup, low sodium",100 g,101,0.1g,0g,0,1.04 g,0.033 g,0.016 g,0.133 g,0.005 g,0.349 g,0.016 g,0.013 g,0,0.014 g,0.021 g,0.023 g,0.005 g,0.021 g,0.012 g,0.021 g,0.019 g,0.005 g,0.009 g,0.014 g,27.40 g,0.3 g,21.27 g,8.72 g,0.00 g,10.25 g,0.00 g,0.00 g,2.30 g,0.10 g,0.014 g,0.015 g,0.041 g,0.00 mg,68.51 g
669,669,Catsup,100 g,101,0.1g,0g,0,1.04 g,0.033 g,0.016 g,0.133 g,0.005 g,0.349 g,0.016 g,0.013 g,0,0.014 g,0.021 g,0.023 g,0.005 g,0.021 g,0.012 g,0.021 g,0.019 g,0.005 g,0.009 g,0.014 g,27.40 g,0.3 g,21.27 g,8.72 g,0.00 g,10.25 g,0.00 g,0.00 g,2.30 g,0.10 g,0.014 g,0.015 g,0.041 g,0.00 mg,68.51 g
